AMAC,Channel,BandgapControl,RampGain,m,b
AMAC_B01,CH0_R,8,2,0.0012970755755324125,-0.02940766350106286
AMAC_B01,CH0_R,8,3,0.0013612650935373486,-0.0292030313796511
AMAC_B01,CH0_R,9,0,0.0016055535878615572,-0.028332021786382316
AMAC_B01,CH0_R,9,1,0.0007597504220702973,-0.028928709200752113
AMAC_B01,CH0_R,9,2,0.001266886457423243,-0.028068768051225396
AMAC_B01,CH0_R,9,3,0.0013284013716287786,-0.027961674356872575
AMAC_B01,CH0_R,10,0,0.0015697277699764575,-0.030897067861990556
AMAC_B01,CH0_R,10,1,0.0007397557242933479,-0.02941266143830144
AMAC_B01,CH0_R,10,2,0.0012354056129300088,-0.02969469654105601
AMAC_B01,CH0_R,10,3,0.0012970565958047677,-0.03013566247445694
AMAC_B01,CH0_R,11,0,0.0015281701822638179,-0.028897448901908308
AMAC_B01,CH0_R,11,1,0.0007198722677427627,-0.026378594011686157
AMAC_B01,CH0_R,11,2,0.0012030010084608698,-0.027573298186332494
AMAC_B01,CH0_R,11,3,0.001261967790033427,-0.027274136040137797
AMAC_B01,CH0_R,12,0,0.0014884303811022403,-0.028010840349815075
AMAC_B01,CH0_R,12,1,0.000698337891892927,-0.023683331210382432
AMAC_B01,CH0_R,12,2,0.0011699386834565493,-0.025607103559797523
AMAC_B01,CH0_R,12,3,0.0012291197022070315,-0.027073417876701544
AMAC_B01,CH0_R,13,0,0.0014501196591359213,-0.027306440793489494
AMAC_B01,CH0_R,13,1,0.0006833097674960483,-0.026012757389809276
AMAC_B01,CH0_R,13,2,0.0011415196369065446,-0.026394821709861828
AMAC_B01,CH0_R,13,3,0.0011981520650581495,-0.026269145672005705
AMAC_B01,CH0_R,14,0,0.0014102466290320768,-0.02498449171961039
AMAC_B01,CH0_R,14,1,0.000661170352357445,-0.021282277799067172
AMAC_B01,CH0_R,14,2,0.001110995506359055,-0.02414773962728604
AMAC_B01,CH0_R,14,3,0.0011652541958170925,-0.023970012133979205
AMAC_B01,CH0_R,15,0,0.0013707733123339884,-0.02265324100104089
AMAC_B01,CH0_R,15,1,0.000645042002851788,-0.021508285866609425
AMAC_B01,CH0_R,15,2,0.0010789359365892949,-0.021727967461747582
AMAC_B01,CH0_R,15,3,0.0011322528348210294,-0.02186661943597885
AMAC_B01,CH1_R,0,0,0.0018810007931601425,-0.03513026359977576
AMAC_B01,CH1_R,0,1,0.0008734572396373307,-0.03295682111576939
AMAC_B01,CH1_R,0,2,0.0014680535733415695,-0.03380739078371813
AMAC_B01,CH1_R,0,3,0.0015435580850847684,-0.034107421986445084
AMAC_B01,CH1_R,1,0,0.0018538874484226124,-0.03425471039860734
AMAC_B01,CH1_R,1,1,0.0008653591454377759,-0.03323744306547703
AMAC_B01,CH1_R,1,2,0.0014501924178998175,-0.03317692976508218
AMAC_B01,CH1_R,1,3,0.0015217294038475063,-0.0327962308672274
AMAC_B01,CH1_R,2,0,0.0018277996579798056,-0.03339771802600357
AMAC_B01,CH1_R,2,1,0.0008558915231243457,-0.03405719319023335
AMAC_B01,CH1_R,2,2,0.001431492795675334,-0.0323753615585966
AMAC_B01,CH1_R,2,3,0.001506124626294203,-0.03320332136460052
AMAC_B01,CH1_R,3,0,0.0018051826884469208,-0.033430458075590155
AMAC_B01,CH1_R,3,1,0.0008459233403739221,-0.03452176696337472
AMAC_B01,CH1_R,3,2,0.0014157503783880608,-0.03388785927251708
AMAC_B01,CH1_R,3,3,0.0014864046484922373,-0.03352687132923382
AMAC_B01,CH1_R,4,0,0.001780688760333468,-0.0341848708967262
AMAC_B01,CH1_R,4,1,0.000832482729588408,-0.03441745809253996
AMAC_B01,CH1_R,4,2,0.0013946309541164794,-0.03330428382189796
