AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_K04,LEFT,0,1,5,2.0080055803717314e-06,-0.00038136444724371876,-0.18877647528069888,147.36770326234154
AMAC_K04,LEFT,0,1,6,2.325664769530415e-06,-0.00044360052996469945,-0.1116414701971671,58.854946375034025
AMAC_K04,LEFT,0,1,7,2.399678805586131e-06,-0.00045605574922239156,-0.18203831136970877,124.34572237788419
AMAC_K04,LEFT,0,1,8,4.196017629588545e-06,-0.0007998667659123503,-0.11819626588623863,63.12125027934404
AMAC_K04,LEFT,0,1,9,4.24148397770655e-06,-0.0008084010727318279,-0.11865287982273086,63.022519018363155
AMAC_K04,LEFT,0,1,10,4.601021814229691e-06,-0.0008768686007717028,-0.1198085511235322,63.72775553425772
AMAC_K04,LEFT,0,1,11,4.646894309596617e-06,-0.0008856044637670389,-0.12032427325112983,63.787324206144454
AMAC_K04,LEFT,0,1,12,6.1245338842849055e-06,-0.001167516958615626,-0.12202274996022326,65.07815743875537
AMAC_K04,LEFT,0,1,13,6.158134141873528e-06,-0.0011738032092949728,-0.12253889742926066,65.32611365221348
AMAC_K04,LEFT,0,1,14,6.486421211524394e-06,-0.0012361115617579607,-0.12268003104604837,66.03179913845959
AMAC_K04,LEFT,0,1,15,6.548706226911663e-06,-0.0012483451029347125,-0.12255270735730751,65.21973347190207
AMAC_K04,LEFT,0,2,0,3.189405219530329e-08,-3.270060919587677e-06,-0.10597263593297282,113.51160027633583
AMAC_K04,LEFT,0,2,1,9.632776844446342e-08,-1.0380179465506245e-05,-0.12483430405228942,1506.5231776971536
AMAC_K04,LEFT,0,2,2,7.433134334475739e-07,-8.105091545011463e-05,-0.1139714953793383,79.7913330812952
AMAC_K04,LEFT,0,2,3,8.143887694258939e-07,-8.882263696641764e-05,-0.11240015041773523,46.536168660695814
AMAC_K04,LEFT,0,2,4,3.484467706731465e-06,-0.0003792262731070013,-0.11691061234132152,61.442986852770694
AMAC_K04,LEFT,0,2,5,3.5532949263481453e-06,-0.00038678857707236987,-0.11689366452782257,61.59477964271591
AMAC_K04,LEFT,0,2,6,4.19084391971421e-06,-0.00045599961544828593,-0.1179266865813888,62.39060303070719
AMAC_K04,LEFT,0,2,7,4.24947024157718e-06,-0.0004621509043125046,-0.11782240274795128,62.806002162295144
AMAC_K04,LEFT,0,2,8,7.549382048047083e-06,-0.0008209250276553702,-0.12034882382295792,63.800093321424775
AMAC_K04,LEFT,0,2,9,7.622918289677301e-06,-0.0008290053329991586,-0.11999864006077741,63.59049830695198
AMAC_K04,LEFT,0,2,10,8.24761615819028e-06,-0.0008970340774019956,-0.12159299800128637,65.01531114143488
AMAC_K04,LEFT,0,2,11,8.34160315071113e-06,-0.0009072931082986047,-0.12304681366242139,65.2787990897713
AMAC_K04,LEFT,0,2,12,1.1014277848257988e-05,-0.001198365789545712,-0.12446301399636853,65.60639558165872
AMAC_K04,LEFT,0,2,13,1.1092531158491324e-05,-0.0012071127430685166,-0.12333517315768869,65.03063539760169
AMAC_K04,LEFT,0,2,14,1.1703942623607626e-05,-0.001273864194518008,-0.12501893606576556,66.07969098395266
AMAC_K04,LEFT,0,2,15,1.1786527743238008e-05,-0.001282687096967487,-0.1248389193971653,65.58550145367151
AMAC_K04,LEFT,0,3,0,3.267895182701697e-08,-3.185848194778344e-06,-0.10105028367265921,86.76153335715804
AMAC_K04,LEFT,0,3,1,9.834422233748582e-08,-1.0133421590663558e-05,-0.10239066431684454,313.5782242445962
AMAC_K04,LEFT,0,3,2,7.806750701377321e-07,-8.147826278150716e-05,-0.11605590141824816,53.53967477810208
AMAC_K04,LEFT,0,3,3,8.531032220444073e-07,-8.90893320031822e-05,-0.11580170805353175,53.21465599735558
AMAC_K04,LEFT,0,3,4,3.6573840027454577e-06,-0.00038118951793365114,-0.11738938490727086,61.18436334595032
AMAC_K04,LEFT,0,3,5,3.7263594047825883e-06,-0.0003884704261068131,-0.1163788157463324,60.879286905292936
AMAC_K04,LEFT,0,3,6,4.3900394939420805e-06,-0.00045753755598451705,-0.11760818821199968,61.99511702145742
AMAC_K04,LEFT,0,3,7,4.456007623165574e-06,-0.00046408875461772245,-0.11801116064340736,62.52306952841557
AMAC_K04,LEFT,0,3,8,7.891885968970383e-06,-0.0008211523189244708,-0.12038280448006025,64.17553850983552
AMAC_K04,LEFT,0,3,9,7.971756269472731e-06,-0.0008301075359414416,-0.12011602645059308,63.97895536381945
AMAC_K04,LEFT,0,3,10,8.611197039852427e-06,-0.0008964179827004352,-0.12251658954962778,66.12860043910186
AMAC_K04,LEFT,0,3,11,8.66648183000365e-06,-0.0009017166075547008,-0.12213889746644041,66.12653856023584
AMAC_K04,LEFT,0,3,12,1.1347601954041302e-05,-0.0011794510674602438,-0.12455927994816467,69.22069246711922
AMAC_K04,LEFT,0,3,13,1.1397446197350326e-05,-0.0011847399509597608,-0.12569846293706646,70.06436945701498
AMAC_K04,LEFT,0,3,14,1.2085234614131688e-05,-0.0012564151047041142,-0.12631207928975272,69.54981190225296
AMAC_K04,LEFT,0,3,15,1.2144614046733905e-05,-0.0012625404669785341,-0.12482412899576409,68.89860023382265
AMAC_K04,LEFT,1,0,0,4.023914783150999e-08,-3.2881433115094776e-06,-0.10831931340558722,576.9984782881073
AMAC_K04,LEFT,1,0,1,1.0363377075508735e-07,-8.578604767825494e-06,-0.1231957020500632,3463.4561366847056
AMAC_K04,LEFT,1,0,2,9.46991674552672e-07,-8.11356099944225e-05,-0.11204654258821553,49.56856252174285
AMAC_K04,LEFT,1,0,3,1.035443701266541e-06,-8.873861266845306e-05,-0.11609793774080264,55.46952694716435
AMAC_K04,LEFT,1,0,4,4.426390832709585e-06,-0.00037886443156646087,-0.11587125457036355,61.46584479909103
AMAC_K04,LEFT,1,0,5,4.513566113071427e-06,-0.0003863941897776744,-0.11584459491002218,61.436948535291236
AMAC_K04,LEFT,1,0,6,5.31535780398548e-06,-0.0004551533643763587,-0.11659039974579594,62.55705290107964
AMAC_K04,LEFT,1,0,7,5.413717764522833e-06,-0.0004636733237538834,-0.11655186440317195,61.94584028186978
AMAC_K04,LEFT,1,0,8,9.66688363282021e-06,-0.0008288737236326266,-0.11920370712970052,62.21114361097946
AMAC_K04,LEFT,1,0,9,9.758471889886037e-06,-0.0008366545304770664,-0.119601936893379,61.9279580378235
AMAC_K04,LEFT,1,0,10,1.05796098872205e-05,-0.0009073652739749261,-0.12009937565200404,62.62818665495044
