AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_L01,LEFT,0,2,8,7.712305593712592e-06,-0.0007707839825605277,-0.12375691096094531,64.28853729849608
AMAC_L01,LEFT,0,2,9,7.802017456184292e-06,-0.0007803237598649248,-0.12301124057463408,63.38567091023292
AMAC_L01,LEFT,0,2,10,8.438612001616993e-06,-0.0008439649358543291,-0.12352515250435066,64.25757647158547
AMAC_L01,LEFT,0,2,11,8.503825720171552e-06,-0.0008501386533020473,-0.12408146837851099,64.70268520693729
AMAC_L01,LEFT,0,2,12,1.11129579326075e-05,-0.001110401345201419,-0.126433645114246,67.44982702663974
AMAC_L01,LEFT,0,2,13,1.1170151340999472e-05,-0.001115674716516955,-0.12645401503210751,67.40651964659233
AMAC_L01,LEFT,0,2,14,1.1753468994186845e-05,-0.0011740338903734695,-0.12638695471354672,68.62134480471381
AMAC_L01,LEFT,0,2,15,1.1821190126625753e-05,-0.00118055501471956,-0.1279640887049286,69.50992887644546
AMAC_L01,LEFT,0,3,0,3.410062998971582e-08,-3.103215969520709e-06,-0.10733904251808632,100.00739563676532
AMAC_L01,LEFT,0,3,1,9.52699875473526e-08,-8.927530147643217e-06,-0.12478857227235421,1965.8204326041428
AMAC_L01,LEFT,0,3,2,7.860645191549108e-07,-7.521969943349387e-05,-0.11853927720231726,95.24184550363385
AMAC_L01,LEFT,0,3,3,8.6310972207947e-07,-8.266145138778343e-05,-0.11880380558278263,53.01579005226161
AMAC_L01,LEFT,0,3,4,3.6978981450008336e-06,-0.00035347401981277376,-0.1222514467264787,62.38598384064867
AMAC_L01,LEFT,0,3,5,3.7701599477530415e-06,-0.0003605455902880813,-0.12206901045982478,62.51837655276567
AMAC_L01,LEFT,0,3,6,4.441258710836601e-06,-0.0004247123901559831,-0.12269282029398425,63.39346066995139
AMAC_L01,LEFT,0,3,7,4.517397416840053e-06,-0.00043192507169990604,-0.12280531619854917,63.375718484758146
AMAC_L01,LEFT,0,3,8,8.19529974434747e-06,-0.0007846419371518566,-0.12285753315237692,61.040193024683965
AMAC_L01,LEFT,0,3,9,8.255976631573239e-06,-0.000790409150654518,-0.1233199675631988,62.07076465139801
AMAC_L01,LEFT,0,3,10,8.939227023430102e-06,-0.0008559130504625336,-0.12395981342023994,62.444846794045176
AMAC_L01,LEFT,0,3,11,9.031077720857235e-06,-0.0008648712096247964,-0.12329193163974526,61.609056666934656
AMAC_L01,LEFT,0,3,12,1.1885732870125027e-05,-0.0011386178544926717,-0.1254920205042603,63.247109064270795
AMAC_L01,LEFT,0,3,13,1.194440500904367e-05,-0.00114431154197357,-0.12512921754960682,63.0487587110177
AMAC_L01,LEFT,0,3,14,1.2621223447607151e-05,-0.0012090388431311972,-0.12692816212398397,64.29582135742618
AMAC_L01,LEFT,0,3,15,1.2723058962924802e-05,-0.0012190244062804333,-0.12456487091239025,62.63795109749535
AMAC_L01,LEFT,1,0,0,3.926021391221711e-08,-2.943978403718733e-06,-0.11747103854621768,1198.4226410638776
AMAC_L01,LEFT,1,0,1,1.262728905329115e-07,-1.0044994870717796e-05,-0.10512436152273871,8.047236747668758e-09
AMAC_L01,LEFT,1,0,2,9.430617820101298e-07,-7.52476728132084e-05,-0.11605208192106505,93.12576285979507
AMAC_L01,LEFT,1,0,3,1.0353053619465031e-06,-8.260665692666888e-05,-0.1183843408681916,53.70316213045682
AMAC_L01,LEFT,1,0,4,4.434147765887071e-06,-0.0003530283379595902,-0.12166077812695156,62.46499016962023
AMAC_L01,LEFT,1,0,5,4.515063463485996e-06,-0.00035942432194848345,-0.1219703631373894,63.136924408348754
AMAC_L01,LEFT,1,0,6,5.324722237021342e-06,-0.0004241161647447946,-0.12224172295441856,63.836917839952875
AMAC_L01,LEFT,1,0,7,5.419403686615227e-06,-0.00043166583862262953,-0.12239973033319831,63.54781376048491
AMAC_L01,LEFT,1,0,8,9.84791981232157e-06,-0.0007856556584016828,-0.12144744345649668,60.34145104458741
AMAC_L01,LEFT,1,0,9,9.92077638168243e-06,-0.0007912751730478225,-0.12268629588633045,61.52069529334703
AMAC_L01,LEFT,1,0,10,1.0758075053341383e-05,-0.0008584152815842603,-0.12280038757191161,61.4200654597256
AMAC_L01,LEFT,1,0,11,1.0854104228434892e-05,-0.0008660925772862212,-0.12358293348368334,61.746643130933144
AMAC_L01,LEFT,1,0,12,1.4316108122944461e-05,-0.0011427090996498283,-0.12466835294655301,62.026423009607875
AMAC_L01,LEFT,1,0,13,1.4343698179167757e-05,-0.0011449309249818432,-0.12546646736320372,63.36922398109497
AMAC_L01,LEFT,1,0,14,1.5182435362126354e-05,-0.0012117887951224634,-0.12338384635761898,61.971595379103185
AMAC_L01,LEFT,1,0,15,1.5266442977080218e-05,-0.0012188161580340784,-0.12421384755995865,62.73575962455025
AMAC_L01,LEFT,1,1,0,1.8964998197252984e-08,-2.854251653337017e-06,-0.2072513515006536,8557.361267105938
AMAC_L01,LEFT,1,1,1,5.6899620221643434e-08,-9.34311569378817e-06,-0.1134116575564128,637.6481247638243
AMAC_L01,LEFT,1,1,2,3.7750090537197117e-07,-6.279403397142507e-05,-0.11469969643814262,1588.6134083889144
AMAC_L01,LEFT,1,1,3,4.2556823427028564e-07,-7.08517457080919e-05,-0.11500170820778383,1227.9296632466765
AMAC_L01,LEFT,1,1,4,2.0366623335092103e-06,-0.00033936943207969473,-0.11581190367724492,59.73499553905434
AMAC_L01,LEFT,1,1,5,2.0708350725748155e-06,-0.00034510075677791126,-0.10976318600925565,54.00562598345508
AMAC_L01,LEFT,1,1,6,2.4967992154482665e-06,-0.00041487126752635586,-0.18771739396596654,125.33789715235274
AMAC_L01,LEFT,1,1,7,2.4894274974038335e-06,-0.00041486869741988246,-0.11648157828092524,61.449796528607486
AMAC_L01,LEFT,1,1,8,4.4796743455129285e-06,-0.000746252512598131,-0.11895215978315636,62.20116153114424
AMAC_L01,LEFT,1,1,9,4.517850932012945e-06,-0.0007525414264857772,-0.11892229362695696,62.33161143633965
AMAC_L01,LEFT,1,1,10,4.9010110663409344e-06,-0.0008162839914522303,-0.12062425855142435,63.20740087854233
AMAC_L01,LEFT,1,1,11,4.9504637839572056e-06,-0.0008245333362674071,-0.12026431806516372,62.354258917409844
AMAC_L01,LEFT,1,1,12,6.489011731193353e-06,-0.0010808250304835479,-0.12295304043068936,65.29092828676723
AMAC_L01,LEFT,1,1,13,6.554432897472847e-06,-0.001091843221233708,-0.12345977108538463,64.62630045002199
AMAC_L01,LEFT,1,1,14,6.915381007645364e-06,-0.0011516931329134225,-0.12273745218094251,64.55957589330025
AMAC_L01,LEFT,1,1,15,6.962486129214741e-06,-0.0011596745989669178,-0.12347250907924541,64.70744015853884
AMAC_L01,LEFT,1,2,0,3.263943512652418e-08,-3.147802737115795e-06,-0.10535595894420785,100.00009971303768
AMAC_L01,LEFT,1,2,1,9.423183715230949e-08,-9.309132481558972e-06,-0.1008153054760357,0.6610735048359988
AMAC_L01,LEFT,1,2,2,7.400565363788868e-07,-7.418904919297873e-05,-0.11507937813764461,93.57610461807357
AMAC_L01,LEFT,1,2,3,8.123324218265524e-07,-8.137603912141261e-05,-0.11677391243139379,52.50760227063677
AMAC_L01,LEFT,1,2,4,3.4827527121186917e-06,-0.0003485348579014054,-0.12095749414248065,62.44697315247577
AMAC_L01,LEFT,1,2,5,3.553234419339583e-06,-0.0003557305853660038,-0.1205563667554306,62.19317421054883
AMAC_L01,LEFT,1,2,6,4.180762844391107e-06,-0.00041809169560981497,-0.12095636430188574,63.255352550459804
